id,tier,statement,property,taxonomy
MRC-01,core,"Expected versus observed completeness and wear time, per modality, with the sampling policy, background-execution policy, and valid-observation criteria.",O,ACQ-F01
MRC-02,core,"Missingness statistics, temporal patterns, and suspected attribution to technical loss, non-wear, adherence or attrition, with the evidence used for that attribution.",O,"ACQ-F01,ACQ-F04,ACQ-F05"
MRC-03,core,"Device models, OS versions, app and firmware versions, and every mid-study change.",M+EN,ACQ-F06
MRC-04,core,"Timestamping source, synchronization policy, and residual clock uncertainty after reconciliation.",M,ACQ-F03
MRC-05,conditional,"An accuracy or uncertainty statement appropriate to each primary derived measurand, or a documented justification of why quantitative uncertainty could not be established and what validation evidence is provided instead.",M,ACQ-F08
MRC-06,core,"Upload retry, deduplication, and integrity-verification logic (checksums, sequence numbers).",EN,ACQ-F02
MRC-07,core,"Context and system-health events recorded alongside the data: power state, connectivity, permissions; crashes and service kills.",EN,"ACQ-F01,ACQ-F02,ACQ-F04"
MRC-08,core,"Machine-readable schema, timestamp semantics, quality-flag definitions, and available collection-software artifacts published alongside the data, or an availability statement documenting proprietary, ethical or licensing restrictions and the versioned information supplied instead.",EN,ACQ-F07
MRC-09,core,"QC exclusion criteria, wear-time rules and valid-day thresholds where applicable, and preprocessing provenance from raw log to released dataset.",EN,ACQ-F07
MRC-10,conditional,"Pre-deployment verification evidence: which failure modes of the taxonomy were tested, how, and with what observed behaviour.",M+EN+O,"ACQ-F01,ACQ-F02,ACQ-F03,ACQ-F04,ACQ-F06"
