t_s,t_h,device_a_offset_ms,device_b_offset_ms,inter_device_offset_ms,completeness,quality_flag
0.0,0.0,-9.285704916832858,-2.5455962957878375,-6.74010862104502,1.0,ok
30.0,0.008333333333333333,-8.085704916832858,-3.2955962957878375,-4.790108621045021,1.0,ok
60.0,0.016666666666666666,-6.885704916832857,-4.0455962957878375,-2.8401086210450197,1.0,ok
90.0,0.025,-5.685704916832858,-4.7955962957878375,-0.8901086210450204,1.0,ok
120.0,0.03333333333333333,-4.485704916832858,-5.5455962957878375,1.0598913789549798,1.0,ok
150.0,0.041666666666666664,-3.2857049168328576,-6.2955962957878375,3.00989137895498,1.0,ok
180.0,0.05,-2.0857049168328574,-7.0455962957878375,4.95989137895498,1.0,ok
210.0,0.058333333333333334,-0.8857049168328572,-7.795596295787837,6.909891378954979,1.0,ok
240.0,0.06666666666666667,0.31429508316714205,-8.545596295787838,8.85989137895498,1.0,ok
270.0,0.075,1.5142950831671413,-9.295596295787838,10.80989137895498,1.0,ok
300.0,0.08333333333333333,2.7142950831671424,-10.045596295787838,12.75989137895498,1.0,ok
330.0,0.09166666666666666,3.9142950831671417,-10.795596295787838,14.70989137895498,1.0,ok
360.0,0.1,5.114295083167143,-11.545596295787838,16.65989137895498,1.0,ok
390.0,0.10833333333333334,6.314295083167142,-12.295596295787838,18.60989137895498,1.0,ok
420.0,0.11666666666666667,7.514295083167143,-13.045596295787835,20.55989137895498,1.0,ok
450.0,0.125,8.714295083167142,-13.795596295787838,22.509891378954983,1.0,ok
480.0,0.13333333333333333,9.914295083167142,-14.545596295787838,24.45989137895498,1.0,ok
510.0,0.14166666666666666,11.114295083167141,-15.295596295787838,26.40989137895498,1.0,ok
540.0,0.15,12.31429508316714,-16.04559629578784,28.359891378954977,1.0,ok
570.0,0.15833333333333333,13.51429508316714,-16.795596295787835,30.309891378954973,1.0,ok
600.0,0.16666666666666666,14.714295083167142,-17.54559629578784,32.25989137895498,1.0,ok
630.0,0.175,15.914295083167142,-18.29559629578784,34.20989137895498,1.0,ok
660.0,0.18333333333333332,17.114295083167143,-19.04559629578784,36.15989137895498,1.0,ok
690.0,0.19166666666666668,18.31429508316714,-19.795596295787835,38.10989137895497,1.0,ok
720.0,0.2,19.51429508316714,-20.54559629578784,40.05989137895498,1.0,ok
750.0,0.20833333333333334,20.714295083167144,-21.29559629578784,42.00989137895498,1.0,ok
780.0,0.21666666666666667,21.91429508316714,-22.04559629578784,43.95989137895498,1.0,ok
810.0,0.225,23.114295083167143,-22.79559629578784,45.90989137895498,1.0,ok
